Step,Training Loss,Validation Loss,Accuracy,F1
156,0.435073,0.262226,0.89388,0.893867
312,0.313727,0.264523,0.89752,0.897234
468,0.249418,0.224421,0.91172,0.911711
624,0.257941,0.213539,0.91656,0.91656
780,0.259524,0.212588,0.916,0.915952
936,0.241152,0.208039,0.91916,0.919113
1092,0.246412,0.202742,0.92284,0.922798
1248,0.230007,0.238885,0.91776,0.91764
1404,0.223446,0.211857,0.92284,0.922766
1560,0.221785,0.202756,0.92128,0.921188
1716,0.155851,0.227623,0.92552,0.925486
1872,0.160269,0.239733,0.91956,0.919495
2028,0.141777,0.254724,0.92716,0.927148
2184,0.147976,0.225378,0.93024,0.930239
2340,0.153433,0.20905,0.93072,0.930719
2496,0.126571,0.239327,0.93128,0.931279
2652,0.173062,0.271891,0.91892,0.918746
2808,0.149966,0.231188,0.93136,0.93136
2964,0.134586,0.255349,0.92956,0.929556
3120,0.155934,0.239926,0.9308,0.9308
3276,0.072197,0.273266,0.93168,0.931677
3432,0.099845,0.269787,0.93108,0.931071
3588,0.072802,0.29235,0.93048,0.93047
3744,0.07502,0.282313,0.93056,0.93056
3900,0.080259,0.299433,0.9316,0.93159
4056,0.099742,0.277978,0.93196,0.931956
4212,0.106715,0.27476,0.93044,0.930423
4368,0.07217,0.279278,0.93232,0.93232
4524,0.099832,0.273313,0.93256,0.932559
4680,0.081007,0.274938,0.93304,0.93304
4689,0.081007,0.274931,0.933,0.933
