Step,Training Loss,Validation Loss,Accuracy,F1
156,1.004953,0.573523,0.75412,0.754072
312,0.46376,0.349148,0.85396,0.85393
468,0.342494,0.300419,0.8758,0.87572
624,0.314797,0.294156,0.88064,0.880535
780,0.303068,0.273123,0.88456,0.884505
936,0.289797,0.267997,0.88904,0.889038
1092,0.269623,0.262236,0.89188,0.891859
1248,0.273723,0.261711,0.893,0.892999
1404,0.269426,0.269489,0.89168,0.891604
1560,0.277855,0.252932,0.8948,0.894792
1716,0.189943,0.298001,0.89008,0.890001
1872,0.191953,0.278908,0.8958,0.8958
2028,0.174186,0.337334,0.896,0.895976
2184,0.18701,0.302778,0.89372,0.89368
2340,0.184424,0.282245,0.89632,0.89632
2496,0.169312,0.328212,0.89696,0.896949
2652,0.191181,0.367793,0.88628,0.885876
2808,0.19684,0.318178,0.88808,0.887839
2964,0.191631,0.299536,0.89496,0.894883
3120,0.169413,0.310746,0.89636,0.896304
3276,0.081213,0.454301,0.89688,0.896879
3432,0.083195,0.476176,0.8952,0.895195
3588,0.088918,0.491764,0.89272,0.892657
3744,0.079217,0.473999,0.89504,0.89504
3900,0.10045,0.455158,0.89436,0.89435
4056,0.085184,0.486375,0.89404,0.894009
4212,0.090409,0.46969,0.89432,0.894288
4368,0.082,0.478619,0.89404,0.894039
4524,0.088541,0.476354,0.89408,0.894077
4680,0.067717,0.534744,0.89556,0.895537
4836,0.029964,0.599894,0.89436,0.89433
4992,0.031667,0.560074,0.89296,0.892951
5148,0.025955,0.586929,0.89248,0.892467
5304,0.018613,0.621984,0.89352,0.893513
